id,sistema,faithfulness,context_precision,context_recall,answer_relevancy
gold-01-papa-tizon-tardio,rag_ingenuo,0.5,0.0,0.0,0.3
gold-02-tomate-acaros,rag_ingenuo,0.4,0.0,0.0,0.61
gold-03-tomate-virus-mosaico,rag_ingenuo,0.56,0.0,0.0,0.38
gold-04-vid-tizon-foliar-isariopsis,rag_ingenuo,0.62,0.0,0.0,0.01
gold-05-maiz-roya-comun,rag_ingenuo,0.33,0.0,0.0,0.79
gold-06-citricos-hlb,rag_ingenuo,0.75,0.0,0.0,0.55
gold-07-durazno-mancha-bacteriana,rag_ingenuo,0.4,0.0,0.0,0.72
gold-08-papa-tizon-temprano,rag_ingenuo,1.0,0.0,0.0,0.46
gold-09-tomate-moho-hoja,rag_ingenuo,0.8,0.33,0.0,0.88
gold-10-arandano-sano,rag_ingenuo,0.8,0.0,1.0,0.27
gold-ica-01-papa-tizon-tardio-co,rag_ingenuo,1.0,0.33,0.0,0.41
gold-ica-02-tomate-acaros-co,rag_ingenuo,0.4,0.33,0.0,0.81
gold-ica-03-tomate-virus-mosaico-co,rag_ingenuo,0.67,0.0,0.0,0.74
gold-ica-04-vid-tizon-foliar-co,rag_ingenuo,0.67,0.33,0.0,0.45
gold-ica-05-maiz-roya-comun-co,rag_ingenuo,0.17,0.0,0.0,0.52
gold-ica-06-citricos-hlb-co,rag_ingenuo,0.67,0.0,0.0,0.36
gold-ica-07-durazno-mancha-bacteriana-co,rag_ingenuo,0.25,0.0,0.0,0.7
gold-ica-08-papa-tizon-temprano-co,rag_ingenuo,0.17,0.0,0.0,0.63
gold-ica-09-tomate-moho-hoja-co,rag_ingenuo,0.8,0.67,0.0,0.66
gold-ica-10-arandano-manejo-sano-co,rag_ingenuo,0.29,0.0,0.0,0.56
gold-ica-11-cafe-roya-co,rag_ingenuo,1.0,0.33,0.0,0.53
gold-ica-12-cacao-moniliasis-co,rag_ingenuo,0.17,0.33,0.0,0.78
gold-01-papa-tizon-tardio,rag_avanzado,0.71,0.33,0.0,0.33
gold-02-tomate-acaros,rag_avanzado,0.62,0.33,0.0,0.57
gold-03-tomate-virus-mosaico,rag_avanzado,0.8,0.33,0.0,0.53
gold-04-vid-tizon-foliar-isariopsis,rag_avanzado,0.83,0.0,0.0,0.66
gold-05-maiz-roya-comun,rag_avanzado,0.67,0.0,1.0,0.68
gold-06-citricos-hlb,rag_avanzado,0.5,0.33,1.0,0.28
gold-07-durazno-mancha-bacteriana,rag_avanzado,0.71,0.0,0.0,0.37
gold-08-papa-tizon-temprano,rag_avanzado,1.0,0.33,0.0,0.51
gold-09-tomate-moho-hoja,rag_avanzado,0.6,1.0,1.0,0.9
gold-10-arandano-sano,rag_avanzado,0.67,0.0,1.0,0.22
gold-ica-01-papa-tizon-tardio-co,rag_avanzado,0.6,0.67,0.0,0.53
gold-ica-02-tomate-acaros-co,rag_avanzado,0.6,0.33,0.0,0.49
gold-ica-03-tomate-virus-mosaico-co,rag_avanzado,0.0,0.33,0.0,0.57
gold-ica-04-vid-tizon-foliar-co,rag_avanzado,0.83,0.33,0.0,0.62
gold-ica-05-maiz-roya-comun-co,rag_avanzado,0.29,0.0,1.0,0.58
gold-ica-06-citricos-hlb-co,rag_avanzado,0.29,0.67,0.0,0.43
gold-ica-07-durazno-mancha-bacteriana-co,rag_avanzado,0.75,0.33,0.0,0.48
gold-ica-08-papa-tizon-temprano-co,rag_avanzado,0.78,0.33,0.0,0.44
gold-ica-09-tomate-moho-hoja-co,rag_avanzado,0.8,0.67,1.0,0.55
gold-ica-10-arandano-manejo-sano-co,rag_avanzado,0.2,0.0,0.0,0.44
gold-ica-11-cafe-roya-co,rag_avanzado,1.0,0.33,0.0,0.64
gold-ica-12-cacao-moniliasis-co,rag_avanzado,0.5,0.67,0.0,0.53
