config,metodo,subset,hit@3,precision@3
v1: fijo + tokens simples,densa (ingenuo),M2 (10),4/10,0.17
v1: fijo + tokens simples,densa (ingenuo),externos (12),7/12,0.19
v1: fijo + tokens simples,bm25,M2 (10),10/10,0.57
v1: fijo + tokens simples,bm25,externos (12),11/12,0.39
v1: fijo + tokens simples,hibrida,M2 (10),9/10,0.37
v1: fijo + tokens simples,hibrida,externos (12),10/12,0.33
v1: fijo + tokens simples,hibrida + rerank (avanzado),M2 (10),10/10,0.6
v1: fijo + tokens simples,hibrida + rerank (avanzado),externos (12),12/12,0.47
fijo + tokens normalizados,densa (ingenuo),M2 (10),4/10,0.17
fijo + tokens normalizados,densa (ingenuo),externos (12),7/12,0.19
fijo + tokens normalizados,bm25,M2 (10),9/10,0.6
fijo + tokens normalizados,bm25,externos (12),11/12,0.42
fijo + tokens normalizados,hibrida,M2 (10),10/10,0.4
fijo + tokens normalizados,hibrida,externos (12),10/12,0.31
fijo + tokens normalizados,hibrida + rerank (avanzado),M2 (10),10/10,0.63
fijo + tokens normalizados,hibrida + rerank (avanzado),externos (12),12/12,0.5
v2: seccion + tokens normalizados,densa (ingenuo),M2 (10),3/10,0.1
v2: seccion + tokens normalizados,densa (ingenuo),externos (12),6/12,0.39
v2: seccion + tokens normalizados,bm25,M2 (10),10/10,0.57
v2: seccion + tokens normalizados,bm25,externos (12),11/12,0.39
v2: seccion + tokens normalizados,hibrida,M2 (10),10/10,0.4
v2: seccion + tokens normalizados,hibrida,externos (12),10/12,0.42
v2: seccion + tokens normalizados,hibrida + rerank (avanzado),M2 (10),10/10,0.47
v2: seccion + tokens normalizados,hibrida + rerank (avanzado),externos (12),12/12,0.56
